ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1,1931,Campeonato 1931,Argentinos,12,15,7,43,34,49,61,-12,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
2,1931,Campeonato 1931,Atlanta,4,23,7,19,34,33,83,-50,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
3,1931,Campeonato 1931,Boca Juniors,21,6,7,70,34,86,50,36,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
4,1931,Campeonato 1931,Chacarita,18,10,6,60,34,63,58,5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
5,1931,Campeonato 1931,Estudiantes (LP),19,10,5,62,34,104,52,52,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
6,1931,Campeonato 1931,Ferro,12,14,8,44,34,60,74,-14,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
7,1931,Campeonato 1931,Gimnasia (LP),9,13,12,39,34,42,64,-22,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
8,1931,Campeonato 1931,Huracan,13,14,7,46,34,58,49,9,https://logodetimes.com/times/huracan/logo-huracan-256.png
9,1931,Campeonato 1931,Independiente,18,9,7,61,34,69,60,9,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
10,1931,Campeonato 1931,Lanus,9,22,3,30,34,44,83,-39,https://logodetimes.com/times/lanus/logo-lanus-256.png
11,1931,Campeonato 1931,Platense,13,16,4,43,33,53,53,0,https://logodetimes.com/times/club-atletico-platense/club-atletico-platense-256.png
12,1931,Campeonato 1931,Quilmes,12,17,5,41,34,53,62,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Escudo_QAC_Lotto_2012_-_2016.png/120px-Escudo_QAC_Lotto_2012_-_2016.png
13,1931,Campeonato 1931,Racing Club,19,9,6,63,34,82,52,30,https://logodetimes.com/times/racing-club-de-avellaneda/racing-club-de-avellaneda-256.png
14,1931,Campeonato 1931,River Plate,19,8,7,64,34,64,40,24,https://logodetimes.com/times/river-plate/logo-river-plate-5.png
15,1931,Campeonato 1931,San Lorenzo,19,8,7,64,34,81,52,29,https://logodetimes.com/times/san-lorenzo/logo-san-lorenzo-256.png
16,1931,Campeonato 1931,Talleres (RdE),11,21,2,35,34,48,68,-20,https://i.postimg.cc/W4h5L0XM/pngwing-com.png
17,1931,Campeonato 1931,Tigre,7,19,7,28,33,47,70,-23,https://logodetimes.com/times/tigre/logo-tigre-256.png
18,1931,Campeonato 1931,Velez,13,14,7,46,34,63,68,-5,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
19,1932,Campeonato 1932,Argentinos,6,17,11,29,34,40,65,-25,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
20,1932,Campeonato 1932,Atlanta,6,23,5,23,34,32,82,-50,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
21,1932,Campeonato 1932,Boca Juniors,21,7,6,69,34,84,45,39,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
22,1932,Campeonato 1932,Chacarita,12,15,7,43,34,74,73,1,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
23,1932,Campeonato 1932,Estudiantes (LP),16,10,8,56,34,80,62,18,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
24,1932,Campeonato 1932,Ferro,13,14,7,46,34,64,59,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
25,1932,Campeonato 1932,Gimnasia (LP),15,11,8,53,34,80,61,19,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
26,1932,Campeonato 1932,Huracan,14,13,7,49,34,58,62,-4,https://logodetimes.com/times/huracan/logo-huracan-256.png
27,1932,Campeonato 1932,Independiente,21,7,7,70,35,69,43,26,https://logodetimes.com/times/club-atletico-independiente/club-atletico-independiente-256.png
28,1932,Campeonato 1932,Lanus,6,21,7,25,34,37,73,-36,https://logodetimes.com/times/lanus/logo-lanus-256.png
